image_link,date,description,note,equipment_type,cntry_army,flag,system,status,total_equipment_type_oryx,total_system_oryx,total_destroyed_oryx,total_abandoned_oryx,total_captured_oryx,total_damaged_oryx,timestamp
https://twitter.com/RALee85/status/1506953417935179793,2022-03-24,NA,date from tweet,Naval Ships,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Project 1171 Tapir class landing ship 'Saratov (BDK-65)',destroyed,1,4,2,NA,NA,2,2022-04-29T21:08:14Z
https://postimg.cc/1nfM4WCb,2022-03-23,NA,date from image,Tanks,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-72B,destroyed,6,144,62,8,73,1,2022-04-29T21:08:14Z
https://i.postimg.cc/0Q71gWbb/652.png,2022-03-06,NA,date from image,Armoured Fighting Vehicles,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BRM-1K,captured,5,86,33,4,50,NA,2022-04-29T21:08:14Z
https://twitter.com/RALee85/status/1497785823198162944,2022-02-27,NA,date from tweet,Infantry Fighting Vehicles,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png,BTR-4,damaged,34,105,52,9,41,3,2022-04-29T21:08:14Z
https://i.postimg.cc/GtQ70qYt/4fh.png,2022-03-14,NA,date from image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://twitter.com/Caucasuswar/status/1497165090835083293,2022-02-25,NA,date from tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://twitter.com/UAWeapons/status/1499793578591236260,2022-03-04,NA,date from tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://postlmg.cc/PNLkmdpw,2022-02-27,NA,date from image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
